Timestamp,Serial Number,Name,Mode,Alarm,rH,Temp
2023-01-01 17:36:07,1092,Leads Film,STATE,RESET,1.1,12.7,
2023-01-01 12:15:53,1092,Leads Film,STATE,RESET,0.9,13.1,
2023-01-01 06:55:42,1092,Leads Film,STATE,RESET,1.1,12,
2023-01-01 01:35:38,1092,Leads Film,STATE,RESET,0.9,12.4,
2022-12-31 20:15:30,1092,Leads Film,STATE,RESET,0.9,12,
2022-12-31 14:55:25,1092,Leads Film,STATE,RESET,0.8,12,
2022-12-31 09:35:23,1092,Leads Film,STATE,RESET,0.9,11.3,
2022-12-31 04:15:20,1092,Leads Film,STATE,RESET,1,11,
2022-12-30 22:55:19,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-30 17:35:24,1092,Leads Film,STATE,RESET,0.8,10.6,
2022-12-30 12:15:33,1092,Leads Film,STATE,RESET,0.9,9.9,
2022-12-30 06:55:44,1092,Leads Film,STATE,RESET,0.8,10.3,
2022-12-30 01:35:49,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-29 20:15:54,1092,Leads Film,STATE,RESET,0.9,11.3,
2022-12-29 14:55:53,1092,Leads Film,STATE,RESET,0.9,12,
2022-12-29 09:35:52,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-29 04:16:01,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-28 22:56:16,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-28 22:56:08,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-28 17:36:13,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-28 12:16:20,1092,Leads Film,STATE,RESET,0.8,10.6,
2022-12-28 06:56:32,1092,Leads Film,STATE,RESET,0.9,10.3,
2022-12-28 01:36:45,1092,Leads Film,STATE,RESET,1,10.3,
2022-12-27 20:16:59,1092,Leads Film,STATE,RESET,1,10.6,
2022-12-27 14:57:09,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-27 09:37:16,1092,Leads Film,STATE,RESET,0.9,10.6,
2022-12-27 04:17:18,1092,Leads Film,STATE,RESET,1.1,11.3,
2022-12-26 22:57:19,1092,Leads Film,STATE,RESET,1.2,12,
2022-12-26 17:37:07,1092,Leads Film,STATE,RESET,1.1,12.7,
2022-12-26 12:16:54,1092,Leads Film,STATE,RESET,1,13.4,
2022-12-26 06:56:52,1092,Leads Film,STATE,RESET,1,10.6,
2022-12-26 01:36:57,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-25 20:17:03,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-25 14:57:03,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-25 09:37:06,1092,Leads Film,STATE,RESET,1,10.6,
2022-12-25 04:17:17,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-24 22:57:27,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-24 17:37:32,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-24 12:17:39,1092,Leads Film,STATE,RESET,0.9,11.3,
2022-12-24 06:57:49,1092,Leads Film,STATE,RESET,1,10.3,
2022-12-24 01:37:56,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-23 20:18:03,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-23 14:58:08,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-23 09:38:17,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-23 04:18:28,1092,Leads Film,STATE,RESET,1.1,10.6,
2022-12-22 22:58:29,1092,Leads Film,STATE,RESET,1,11,
2022-12-22 17:38:32,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-22 12:18:35,1092,Leads Film,STATE,RESET,0.9,11,
2022-12-22 06:58:36,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-22 01:38:35,1092,Leads Film,STATE,RESET,1.2,11.3,
2022-12-21 20:18:34,1092,Leads Film,STATE,RESET,1.1,11.3,
2022-12-21 14:58:29,1092,Leads Film,STATE,RESET,1,11.7,
2022-12-21 09:38:20,1092,Leads Film,STATE,RESET,1,11,
2022-12-21 04:18:18,1092,Leads Film,STATE,RESET,1.2,11,
2022-12-20 22:58:13,1092,Leads Film,STATE,RESET,1.2,11.3,
2022-12-20 17:38:08,1092,Leads Film,STATE,RESET,1.1,11.3,
2022-12-20 12:18:00,1092,Leads Film,STATE,RESET,0.9,11.7,
2022-12-20 06:58:00,1092,Leads Film,STATE,RESET,0.9,10.3,
2022-12-20 01:38:07,1092,Leads Film,STATE,RESET,0.8,9.6,
2022-12-19 20:18:24,1092,Leads Film,STATE,RESET,0.8,9.2,
2022-12-19 14:58:42,1092,Leads Film,STATE,RESET,0.7,8.5,
2022-12-19 09:39:11,1092,Leads Film,STATE,RESET,0.6,6.8,
2022-12-19 04:19:48,1092,Leads Film,STATE,RESET,0.6,5.7,
2022-12-18 23:00:36,1092,Leads Film,STATE,RESET,0.5,5,
2022-12-18 17:41:32,1092,Leads Film,STATE,RESET,0.6,4.3,
2022-12-18 12:22:26,1092,Leads Film,STATE,RESET,0.6,4,
2022-12-18 07:03:23,1092,Leads Film,STATE,RESET,0.7,4,
2022-12-18 01:44:18,1092,Leads Film,STATE,RESET,0.6,4.3,
2022-12-17 20:25:16,1092,Leads Film,STATE,RESET,0.5,4.3,
2022-12-17 15:06:09,1092,Leads Film,STATE,RESET,0.6,4.7,
2022-12-17 09:47:04,1092,Leads Film,STATE,RESET,0.6,3.6,
2022-12-17 04:28:05,1092,Leads Film,STATE,RESET,0.8,3.6,
2022-12-16 23:09:06,1092,Leads Film,STATE,RESET,0.7,4.3,
2022-12-16 17:50:00,1092,Leads Film,STATE,RESET,0.6,4.7,
2022-12-16 12:30:54,1092,Leads Film,STATE,RESET,0.6,5,
2022-12-16 07:11:57,1092,Leads Film,STATE,RESET,0.7,3.6,
2022-12-16 01:53:00,1092,Leads Film,STATE,RESET,0.7,4,
2022-12-15 20:34:04,1092,Leads Film,STATE,RESET,0.6,4.3,
2022-12-15 15:14:58,1092,Leads Film,STATE,RESET,0.6,5,
2022-12-15 09:55:58,1092,Leads Film,STATE,RESET,0.6,4,
2022-12-15 04:36:59,1092,Leads Film,STATE,RESET,0.8,4.3,
2022-12-14 23:17:52,1092,Leads Film,STATE,RESET,0.8,4.7,
2022-12-14 17:58:46,1092,Leads Film,STATE,RESET,0.7,5,
2022-12-14 12:39:37,1092,Leads Film,STATE,RESET,0.6,5.4,
2022-12-14 07:20:37,1092,Leads Film,STATE,RESET,0.7,4.3,
2022-12-14 07:20:26,1092,Leads Film,STATE,RESET,0.7,4.3,
2022-12-14 02:01:19,1092,Leads Film,STATE,RESET,0.7,4.7,
2022-12-13 20:42:10,1092,Leads Film,STATE,RESET,0.7,4.7,
2022-12-13 15:22:59,1092,Leads Film,STATE,RESET,0.7,5,
2022-12-13 10:03:47,1092,Leads Film,STATE,RESET,0.8,5,
2022-12-13 04:44:36,1092,Leads Film,STATE,RESET,0.9,5.4,
2022-12-12 23:25:25,1092,Leads Film,STATE,RESET,0.8,5.7,
2022-12-12 18:06:11,1092,Leads Film,STATE,RESET,0.8,6.1,
2022-12-12 12:46:50,1092,Leads Film,STATE,RESET,0.6,6.4,
2022-12-12 07:27:37,1092,Leads Film,STATE,RESET,0.7,4.7,
2022-12-12 02:08:29,1092,Leads Film,STATE,RESET,0.7,5,
2022-12-11 20:49:18,1092,Leads Film,STATE,RESET,0.8,5,
2022-12-11 15:30:08,1092,Leads Film,STATE,RESET,0.8,5.7,
2022-12-11 10:10:55,1092,Leads Film,STATE,RESET,0.7,5,
2022-12-11 04:51:50,1092,Leads Film,STATE,RESET,0.8,5,
2022-12-10 23:32:34,1092,Leads Film,STATE,RESET,0.9,5.7,
2022-12-10 18:13:13,1092,Leads Film,STATE,RESET,1,6.8,
2022-12-10 12:53:46,1092,Leads Film,STATE,RESET,0.8,7.8,
2022-12-10 07:34:18,1092,Leads Film,STATE,RESET,0.9,6.1,
2022-12-10 02:14:56,1092,Leads Film,STATE,RESET,1.1,6.8,
2022-12-09 20:55:26,1092,Leads Film,STATE,RESET,1.1,7.8,
2022-12-09 15:35:51,1092,Leads Film,STATE,RESET,0.9,8.9,
2022-12-09 10:16:11,1092,Leads Film,STATE,RESET,0.8,6.4,
2022-12-09 04:56:52,1092,Leads Film,STATE,RESET,1,6.1,
2022-12-08 23:37:26,1092,Leads Film,STATE,RESET,1,6.8,
2022-12-08 18:17:54,1092,Leads Film,STATE,RESET,1.2,7.8,
2022-12-08 12:58:16,1092,Leads Film,STATE,RESET,0.9,8.9,
2022-12-08 07:38:36,1092,Leads Film,STATE,RESET,1,7.1,
2022-12-08 02:19:00,1092,Leads Film,STATE,RESET,1.1,8.2,
2022-12-07 20:59:18,1092,Leads Film,STATE,RESET,1.3,8.9,
2022-12-07 15:39:30,1092,Leads Film,STATE,RESET,1.1,9.9,
2022-12-07 10:19:39,1092,Leads Film,STATE,RESET,1.1,8.9,
2022-12-07 04:59:53,1092,Leads Film,STATE,RESET,1.3,9.2,
2022-12-06 23:40:10,1092,Leads Film,STATE,RESET,1.3,9.6,
2022-12-06 18:20:18,1092,Leads Film,STATE,RESET,1.3,10.3,
2022-12-06 13:00:22,1092,Leads Film,STATE,RESET,1.1,11,
2022-12-06 07:40:29,1092,Leads Film,STATE,RESET,1.3,9.2,
2022-12-06 02:20:47,1092,Leads Film,STATE,RESET,1.3,9.2,
2022-12-05 21:00:54,1092,Leads Film,STATE,RESET,1.3,9.6,
2022-12-05 15:40:59,1092,Leads Film,STATE,RESET,1.1,9.6,
2022-12-03 15:43:00,1092,Leads Film,STATE,RESET,1.2,9.6,
2022-12-03 10:23:07,1092,Leads Film,STATE,RESET,1.2,9.6,
2022-12-03 05:03:14,1092,Leads Film,STATE,RESET,1.5,9.6,
2022-12-02 23:43:17,1092,Leads Film,STATE,RESET,1.5,9.9,
2022-12-02 18:23:15,1092,Leads Film,STATE,RESET,1.5,10.3,
2022-12-02 13:03:21,1092,Leads Film,STATE,RESET,1.2,10.6,
2022-12-02 13:03:09,1092,Leads Film,STATE,RESET,1.2,10.6,
2022-12-02 07:43:04,1092,Leads Film,STATE,RESET,1.4,10.3,
2022-12-02 02:23:00,1092,Leads Film,STATE,RESET,1.5,10.6,
2022-12-01 21:02:52,1092,Leads Film,STATE,RESET,1.5,11,
2022-12-01 15:42:42,1092,Leads Film,STATE,RESET,1.3,11.3,
2022-12-01 10:22:25,1092,Leads Film,STATE,RESET,1.3,11.3,
2022-12-01 05:02:15,1092,Leads Film,STATE,RESET,1.5,11.3,
2022-11-30 23:41:58,1092,Leads Film,STATE,RESET,1.6,11.7,
2022-11-30 18:21:40,1092,Leads Film,STATE,RESET,1.6,12,
2022-11-30 13:01:17,1092,Leads Film,STATE,RESET,1.3,12.7,
2022-11-29 10:18:25,1092,Leads Film,STATE,RESET,1,9.9,
2022-11-29 10:17:46,1092,Leads Film,STATE,PRE-WARN,1,9.6,
2022-11-29 10:16:50,1092,Leads Film,STATE,RESET,1,9.6,
2022-11-29 10:16:08,1092,Leads Film,STATE,PRE-WARN,1,9.6,
2022-11-29 10:15:45,1092,Leads Film,STATE,PRE-WARN,1,9.6,
2022-11-29 10:15:29,1092,Leads Film,STATE,PRE-WARN,1,9.2,
2022-11-29 10:15:00,1092,Leads Film,STATE,RESET,1,9.2,
2022-11-29 10:14:46,1092,Leads Film,STATE,PRE-WARN,1,9.2,
2022-11-29 10:14:18,1092,Leads Film,STATE,PRE-WARN,1,9.2,
2022-11-29 10:13:59,1092,Leads Film,STATE,RESET,1,9.2,
2022-11-29 10:13:18,1092,Leads Film,STATE,PRE-WARN,1.3,7.8,
2022-11-29 10:06:07,1092,Leads Film,LEARNING,RESET,-,-,
2022-11-29 10:05:49,1092,Leads Film,LEARNING,RESET,-,-,
2022-11-29 10:05:31,1092,Leads Film,STATE,RESET,1.3,7.8,
2022-11-29 10:04:47,1092,Leads Film,STATE,RESET,1.3,7.8,
2022-11-29 10:04:05,1092,Leads Film,STATE,PRE-WARN,1.2,7.5,
2022-11-29 10:03:28,1092,Leads Film,LEARNING,RESET,-,-,
2022-11-29 10:02:32,1092,Leads Film,STATE,PRE-WARN,1.2,7.1,
2022-11-29 10:02:29,1092,Leads Film,STATE,PRE-WARN,1.2,7.1,
2022-09-07 06:47:32,1092,Leads Film,STATE,ALARM,46.8,14.5,
2022-09-07 06:20:56,1092,Leads Film,STATE,ALARM,47.3,14.5,
2022-09-07 06:20:46,1092,Leads Film,STATE,ALARM,47.3,14.5,
2022-09-07 06:20:40,1092,Leads Film,STATE,ALARM,47.3,14.5,
2022-09-07 05:54:07,1092,Leads Film,STATE,ALARM,47.8,14.1,
2022-09-07 04:07:04,1092,Leads Film,STATE,ALARM,49.3,14.5,
2022-09-07 04:07:01,1092,Leads Film,STATE,ALARM,49.3,14.5,
2022-09-07 03:40:15,1092,Leads Film,STATE,ALARM,49.4,14.5,
2022-09-07 03:40:12,1092,Leads Film,STATE,ALARM,49.4,14.5,
2022-09-07 03:13:26,1092,Leads Film,STATE,ALARM,49.5,15.2,
2022-09-07 03:13:20,1092,Leads Film,STATE,ALARM,49.5,15.2,
2022-09-07 03:12:56,1092,Leads Film,STATE,ALARM,49.5,15.2,
2022-09-07 03:12:53,1092,Leads Film,STATE,ALARM,49.5,15.2,
2022-09-07 02:19:40,1092,Leads Film,STATE,ALARM,49.8,15.9,
2022-09-07 02:19:29,1092,Leads Film,STATE,ALARM,49.8,15.9,
2022-09-07 02:19:26,1092,Leads Film,STATE,ALARM,49.8,15.9,
2022-09-07 01:52:20,1092,Leads Film,STATE,ALARM,49.9,16.2,
2022-09-07 01:25:45,1092,Leads Film,STATE,ALARM,50.1,16.6,
2022-09-07 00:58:37,1092,Leads Film,STATE,ALARM,50.3,16.9,
2022-09-07 00:32:00,1092,Leads Film,STATE,ALARM,50.4,17.3,
2022-09-07 00:31:51,1092,Leads Film,STATE,ALARM,50.4,17.3,
2022-09-07 00:31:45,1092,Leads Film,STATE,ALARM,50.4,17.3,
2022-09-06 23:38:20,1092,Leads Film,STATE,ALARM,50.7,18.3,
2022-09-06 23:38:17,1092,Leads Film,STATE,ALARM,50.7,18.3,
2022-09-06 23:38:06,1092,Leads Film,STATE,ALARM,50.7,18.3,
2022-09-06 23:38:01,1092,Leads Film,STATE,ALARM,50.7,18.3,
2022-09-06 23:11:23,1092,Leads Film,STATE,ALARM,50.6,18.7,
2022-09-06 23:11:12,1092,Leads Film,STATE,ALARM,50.6,18.7,
2022-09-06 23:11:09,1092,Leads Film,STATE,ALARM,50.6,18.7,
2022-09-06 22:44:14,1092,Leads Film,STATE,ALARM,50.7,19.4,
2022-09-06 22:17:55,1092,Leads Film,STATE,ALARM,50.6,19.7,
2022-09-06 22:17:52,1092,Leads Film,STATE,ALARM,50.6,19.7,
2022-09-06 21:50:59,1092,Leads Film,STATE,ALARM,50.5,20.4,
2022-09-06 21:50:56,1092,Leads Film,STATE,ALARM,50.5,20.4,
2022-09-06 21:24:00,1092,Leads Film,STATE,ALARM,50.6,21.1,
2022-09-06 21:23:30,1092,Leads Film,STATE,ALARM,50.6,21.1,
2022-08-18 15:21:57,1092,Leads Film,STATE,PRE-WARN,38.8,20.4,
2022-08-18 15:21:53,1092,Leads Film,STATE,PRE-WARN,38.8,20.4,
2022-08-18 15:21:50,1092,Leads Film,LEARNING,RESET,-,-,
2022-05-04 08:56:45,1092,Leads Film,STATE,PRE-WARN,38.8,20.4,
2022-05-04 08:56:39,1092,Leads Film,STATE,PRE-WARN,38.8,20.4,
2022-05-04 08:56:33,1092,Leads Film,LEARNING,RESET,-,-,
2022-04-25 12:48:43,1092,Leads Film,STATE,ALARM,38.8,20.4,
2022-04-25 12:48:39,1092,Leads Film,STATE,ALARM,38.8,20.4,
2022-04-25 12:48:27,1092,Leads Film,STATE,ALARM,38.8,20.4,
2022-04-25 12:48:24,1092,Leads Film,STATE,ALARM,38.8,20.4,
2022-04-25 12:48:12,1092,Leads Film,STATE,ALARM,38.8,20.4,
2022-04-25 12:48:10,1092,Leads Film,STATE,PRE-WARN,0,0,
2022-04-25 12:48:05,1092,Leads Film,STATE,PRE-WARN,0,0,
2022-04-25 12:47:59,1092,Leads Film,LEARNING,RESET,-,-,
